O-H_distance_Angstrom,Energy_eV,Relative_Energy_eV
9.499999999999999556e-01,-5.094803906250000000e+04,6.796875000000000000e-01
1.084210526315789513e+00,-5.094828906250000000e+04,4.296875000000000000e-01
1.218421052631578849e+00,-5.094850781250000000e+04,2.109375000000000000e-01
1.352631578947368407e+00,-5.094863671875000000e+04,8.203125000000000000e-02
1.486842105263157965e+00,-5.094870703125000000e+04,1.171875000000000000e-02
1.621052631578947301e+00,-5.094871875000000000e+04,0.000000000000000000e+00
1.755263157894736858e+00,-5.094871875000000000e+04,0.000000000000000000e+00
1.889473684210526194e+00,-5.094871875000000000e+04,0.000000000000000000e+00
2.023684210526315752e+00,-5.094871875000000000e+04,0.000000000000000000e+00
2.157894736842105310e+00,-5.094871875000000000e+04,0.000000000000000000e+00
2.292105263157894868e+00,-5.094871875000000000e+04,0.000000000000000000e+00
2.426315789473684426e+00,-5.094871875000000000e+04,0.000000000000000000e+00
2.560526315789473983e+00,-5.094871875000000000e+04,0.000000000000000000e+00
2.694736842105263097e+00,-5.094871875000000000e+04,0.000000000000000000e+00
2.828947368421052655e+00,-5.094871875000000000e+04,0.000000000000000000e+00
2.963157894736841769e+00,-5.094871875000000000e+04,0.000000000000000000e+00
3.097368421052631327e+00,-5.094871875000000000e+04,0.000000000000000000e+00
3.231578947368420884e+00,-5.094871875000000000e+04,0.000000000000000000e+00
3.365789473684210442e+00,-5.094871875000000000e+04,0.000000000000000000e+00
3.500000000000000000e+00,-5.094871875000000000e+04,0.000000000000000000e+00
